Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Quarter,Price_per_kWh,Range_per_kWh
2016,10,3,3,9922,10370,91885.02,120,677,1007.58,2,6599,4,765.7085000000001,5.641666666666667
2021,2,0,0,7648,8340,61475.22,60,352,403.81,1,6614,1,1024.587,5.866666666666666
2022,9,2,4,6952,7464,103792.75,82,460,479.69,0,6233,3,1265.7652439024391,5.609756097560975
2024,7,1,1,1492,1661,88072.56,75,445,99.59,1,9522,3,1174.3008,5.933333333333334
2020,10,2,0,18392,19806,68744.2,120,687,1895.3,1,8649,4,572.8683333333333,5.725
2017,5,1,3,8451,9514,50799.26,82,479,607.2,1,14643,2,619.5031707317073,5.841463414634147
2020,9,3,1,11467,13072,100397.17,120,705,1212.64,2,5628,3,836.6430833333333,5.875
2019,8,3,2,11480,11915,54709.92,82,461,793.84,1,13946,3,667.1941463414634,5.621951219512195
2019,9,1,2,9082,9942,88005.83,100,556,757.44,0,7509,3,880.0583,5.56
2023,1,1,4,14836,16172,97728.31,75,449,999.2,1,5788,1,1303.0441333333333,5.986666666666666
2024,3,3,3,8283,8391,70066.15,75,441,547.92,1,4819,1,934.2153333333332,5.88
2015,12,3,1,10586,11907,85522.74,120,660,1048.01,1,6444,4,712.6895000000001,5.5
2020,8,1,0,10062,10568,103557.46,82,468,706.35,0,8810,3,1262.8958536585367,5.7073170731707314
2021,11,2,2,11748,13383,107986.47,120,679,1196.53,2,5847,4,899.88725,5.658333333333333
2023,1,2,3,6197,6673,66969.32,82,458,425.73,2,3778,1,816.699024390244,5.585365853658536
2023,11,3,3,5365,6034,71688.78,60,358,288.1,1,5155,4,1194.8129999999999,5.966666666666667
2025,8,0,2,11848,12443,104498.21,120,711,1263.59,0,8227,3,870.8184166666667,5.925
2022,6,3,4,10312,11133,106390.66,82,483,747.1,0,9976,2,1297.4470731707318,5.890243902439025
2016,3,2,4,5249,5829,110395.8,120,673,529.89,0,4148,1,919.965,5.608333333333333
2025,12,1,1,16501,18884,108207.45,100,573,1418.26,1,11849,4,1082.0745,5.73
2019,3,2,4,13191,14990,50432.87,120,708,1400.88,2,14380,1,420.2739166666667,5.9
2021,3,1,1,6907,6946,58613.65,100,599,620.59,2,6782,1,586.1365000000001,5.99
2021,4,1,1,11164,11825,84455.13,120,712,1192.32,2,7954,2,703.7927500000001,5.933333333333334
2020,2,1,4,13825,15834,83894.92,120,663,1374.9,2,9620,1,699.1243333333333,5.525
2020,5,0,2,5784,6156,70108.04,100,586,508.41,0,8440,2,701.0803999999999,5.86
2019,6,3,1,12341,12850,94737.55,120,680,1258.78,2,14972,2,789.4795833333334,5.666666666666667
2021,10,1,4,12459,12777,112819.33,75,437,816.69,2,13582,4,1504.2577333333334,5.826666666666667
2016,10,0,4,12205,12670,75329.72,75,430,787.22,2,3547,4,1004.3962666666666,5.733333333333333
2020,3,0,4,10062,11450,68947.85,82,466,703.33,2,9827,1,840.8274390243903,5.682926829268292
2020,2,3,1,11404,11966,72021.13,100,575,983.59,1,14288,1,720.2113,5.75
2025,6,0,1,9808,10413,100126.43,120,666,979.82,0,6245,2,834.3869166666666,5.55
2019,9,2,3,8123,8610,116300.71,100,570,694.52,1,12262,3,1163.0071,5.7
2016,12,3,2,9646,9877,51634.65,120,705,1020.06,1,8502,4,430.28875,5.875
2025,10,0,3,5013,5164,54937.4,75,441,331.61,2,5996,4,732.4986666666667,5.88
2021,8,0,1,10980,11716,105290.52,75,435,716.44,2,4357,3,1403.8736000000001,5.8
2022,11,2,4,21296,23581,57673.97,60,352,1124.43,0,4630,4,961.2328333333334,5.866666666666666
2018,5,2,0,7086,8012,90388.71,120,680,722.77,2,12636,2,753.2392500000001,5.666666666666667
2016,4,2,4,12146,12776,118292.71,120,698,1271.69,2,12869,2,985.7725833333334,5.816666666666666
2019,2,2,0,17194,18978,96293.99,75,413,1065.17,1,7419,1,1283.9198666666668,5.506666666666667
2023,1,3,1,18636,20752,65890.09,82,460,1285.88,2,4937,1,803.5376829268292,5.609756097560975
2023,5,3,4,14130,16020,52154.82,75,440,932.58,2,12105,2,695.3976,5.866666666666666
2020,2,1,0,19298,21732,119779.45,100,571,1652.87,1,6843,1,1197.7945,5.71
2019,6,2,2,6954,7148,63176.25,100,559,583.09,0,3684,2,631.7625,5.59
2021,7,1,2,1889,1946,81630.83,120,707,200.33,0,10085,3,680.2569166666667,5.891666666666667
2019,7,2,0,13064,14557,115532.36,100,597,1169.88,1,5097,3,1155.3236,5.97
2023,12,2,0,8570,9786,60142.91,75,419,538.62,0,13352,4,801.9054666666667,5.586666666666667
2015,3,3,4,11364,12347,84476.24,75,419,714.23,2,11669,1,1126.3498666666667,5.586666666666667
2020,1,0,2,16393,16411,86274.4,75,413,1015.55,1,9830,1,1150.3253333333332,5.506666666666667
2015,9,0,4,14196,15525,78658.82,120,693,1475.67,0,8233,3,655.4901666666667,5.775
2023,6,0,2,7800,7816,104026.38,82,486,568.62,1,10369,2,1268.6143902439026,5.926829268292683
2018,5,2,3,10524,11157,73665.91,120,667,1052.93,2,7700,2,613.8825833333334,5.558333333333334
2020,4,3,1,7971,8106,78445.65,82,470,561.96,0,9489,2,956.6542682926829,5.7317073170731705
2015,10,0,0,5675,6461,117974.08,120,716,609.49,0,8690,4,983.1173333333334,5.966666666666667
2015,9,2,2,9613,10902,105989.87,75,428,617.15,2,3269,3,1413.1982666666665,5.706666666666667
2017,9,2,2,15315,16609,93722.98,120,711,1633.34,2,10043,3,781.0248333333333,5.925
2021,12,0,0,10989,12120,108894.97,120,684,1127.47,1,12214,4,907.4580833333333,5.7
2024,11,1,3,6741,7454,97614.94,75,423,427.72,1,6963,4,1301.5325333333333,5.64
2019,3,0,1,7660,8197,92412.78,75,428,491.77,2,3325,1,1232.1704,5.706666666666667
2018,7,2,3,6750,7014,98646.72,75,433,438.41,1,12554,3,1315.2896,5.773333333333333
2024,8,2,1,4293,4899,91215.62,100,565,363.83,2,8396,3,912.1561999999999,5.65
2022,3,2,0,10627,11394,93214.8,75,427,680.66,2,5380,1,1242.864,5.693333333333333
2018,12,3,1,10972,12196,114344.56,100,571,939.75,0,7105,4,1143.4456,5.71
2021,7,2,1,8642,8738,85727.49,60,359,465.37,2,11318,3,1428.7915,5.983333333333333
2023,11,1,3,11323,12413,52155.06,120,703,1194.01,1,13865,4,434.6255,5.858333333333333
2022,11,1,0,8918,9081,64841.95,60,330,441.44,1,8207,4,1080.6991666666665,5.5
2025,10,0,2,13514,14567,97725.78,60,343,695.3,0,5900,4,1628.763,5.716666666666667
2016,7,1,3,14833,15941,55394.08,82,453,1007.9,1,7010,3,675.5375609756097,5.524390243902439
2018,2,1,4,2728,2744,69039.9,60,330,135.04,1,14740,1,1150.665,5.5
2017,12,1,3,12980,14796,68584.75,82,476,926.77,2,11141,4,836.3993902439024,5.804878048780488
2019,4,2,1,14637,15970,56200.48,120,700,1536.88,0,3769,2,468.33733333333333,5.833333333333333
2017,1,2,2,2923,3251,72231.08,120,660,289.38,0,9133,1,601.9256666666666,5.5
2020,12,1,0,2506,2586,96812.73,82,473,177.8,0,12994,4,1180.6430487804878,5.7682926829268295
2016,8,0,4,6803,7012,111448.11,75,445,454.1,0,13446,3,1485.9748,5.933333333333334
2020,7,2,4,9358,9414,118902.54,120,683,958.73,1,4826,3,990.8544999999999,5.691666666666666
2015,9,0,2,12372,12396,55985.6,100,560,1039.25,1,3318,3,559.856,5.6
2016,9,3,3,10096,11560,79243.27,100,599,907.13,2,11015,3,792.4327000000001,5.99
2018,8,2,0,13056,14836,75916.25,82,481,941.99,1,13763,3,925.8079268292682,5.865853658536586
2021,10,0,3,7975,8297,103789.47,82,487,582.57,0,5658,4,1265.725243902439,5.939024390243903
2021,10,3,2,14764,15765,79707.23,100,557,1233.53,1,8116,4,797.0722999999999,5.57
2015,10,1,4,12831,14369,98628.75,60,338,650.53,2,10082,4,1643.8125,5.633333333333334
2025,2,2,3,8905,9306,95963.54,100,595,794.77,2,7807,1,959.6353999999999,5.95
2015,10,2,1,10384,10742,58439.68,120,664,1034.25,2,11355,4,486.99733333333336,5.533333333333333
2020,8,3,0,5817,6517,67287.58,60,356,310.63,1,13929,3,1121.4596666666666,5.933333333333334
2018,11,0,1,7160,7549,107679.84,60,336,360.86,2,8628,4,1794.664,5.6
2021,9,0,4,9140,10036,116935.48,100,550,754.05,1,5975,3,1169.3548,5.5
2025,1,1,4,13291,14566,62104.57,100,584,1164.29,2,8126,1,621.0457,5.84
2025,3,2,1,15264,16486,73693.64,120,699,1600.43,1,11612,1,614.1136666666666,5.825
2016,5,3,1,12231,12905,54772.06,100,551,1010.89,0,4621,2,547.7206,5.51
2015,12,2,0,17203,17897,105829.14,100,565,1457.95,1,8462,4,1058.2914,5.65
2021,3,1,3,6517,6629,57489.39,75,439,429.14,2,13254,1,766.5252,5.8533333333333335
2016,12,3,1,8519,8888,113005.82,60,333,425.52,1,14471,4,1883.4303333333335,5.55
2022,5,2,0,17889,19907,110473.23,75,436,1169.94,0,13275,2,1472.9764,5.8133333333333335
2017,5,0,3,14239,14773,93741.19,60,347,741.14,2,12993,2,1562.3531666666668,5.783333333333333
2019,8,0,0,8619,8892,101522.48,75,424,548.17,2,9072,3,1353.6330666666665,5.653333333333333
2022,12,1,3,13132,14123,50985.58,100,550,1083.39,0,5881,4,509.85580000000004,5.5
2024,8,0,2,15865,17167,66182.31,60,340,809.11,0,10368,3,1103.0384999999999,5.666666666666667
2023,11,0,0,8624,9706,67412.03,60,342,442.41,2,11015,4,1123.5338333333334,5.7
2022,3,2,2,18486,21086,110350.71,100,594,1647.1,0,8614,1,1103.5071,5.94
2023,8,1,3,11623,11690,102745.27,60,345,601.49,1,7423,3,1712.4211666666667,5.75
2018,3,1,2,8500,9229,106380.26,75,441,562.27,1,4846,1,1418.4034666666666,5.88
2020,5,1,2,10841,12455,78552.6,60,338,549.64,0,9694,2,1309.21,5.633333333333334
2021,3,0,1,7552,8187,56653.96,75,420,475.78,2,7961,1,755.3861333333333,5.6
2017,11,3,2,9677,10121,107566.68,75,414,600.94,1,8023,4,1434.2223999999999,5.52
2019,7,1,4,6164,6686,67662.59,60,357,330.08,0,6188,3,1127.7098333333333,5.95
2015,9,1,4,5111,5187,67022.05,75,439,336.56,1,13268,3,893.6273333333334,5.8533333333333335
2019,10,1,0,5655,6381,56946.64,60,332,281.62,1,6152,4,949.1106666666667,5.533333333333333
2023,12,0,0,11905,12981,90535.08,100,561,1001.81,2,3560,4,905.3508,5.61
2022,2,2,3,8449,9164,58017.3,120,719,911.22,0,8106,1,483.4775,5.991666666666666
2020,4,1,0,4068,4417,80929.76,75,425,259.33,1,11957,2,1079.0634666666665,5.666666666666667
2018,6,0,1,15384,15892,93795.56,60,347,800.74,2,5218,2,1563.2593333333332,5.783333333333333
2019,5,1,3,13602,14061,96362.25,75,435,887.53,1,13981,2,1284.83,5.8
2018,5,3,3,17044,18626,63064.8,120,661,1689.91,0,6414,2,525.5400000000001,5.508333333333334
2024,10,1,0,11346,11431,77762.62,60,341,580.35,2,6417,4,1296.0436666666667,5.683333333333334
2025,2,1,4,1589,1658,62204.97,100,589,140.39,2,14464,1,622.0497,5.89
2019,2,0,2,9546,10021,99056.59,60,352,504.03,0,14152,1,1650.9431666666667,5.866666666666666
2023,11,3,0,11986,12577,87376.96,60,331,595.1,0,5504,4,1456.2826666666667,5.516666666666667
2016,12,3,4,8664,9913,77263.73,120,683,887.63,1,7084,4,643.8644166666667,5.691666666666666
2023,2,0,0,14614,16080,115963.41,60,354,776.0,0,3503,1,1932.7235,5.9
2021,4,0,3,8454,8914,94870.42,82,487,617.56,1,4967,2,1156.9563414634147,5.939024390243903
2018,12,3,3,9743,10457,74615.49,100,595,869.56,0,9827,4,746.1549,5.95
2016,10,2,0,6815,7829,59204.24,60,338,345.52,0,7734,4,986.7373333333333,5.633333333333334
2019,6,0,1,8068,8161,96953.55,75,443,536.12,0,5935,2,1292.714,5.906666666666666
2019,1,1,0,8718,9352,55978.21,75,448,585.85,0,9216,1,746.3761333333333,5.973333333333334
2024,6,1,4,3651,4028,89589.5,120,664,363.64,2,4951,2,746.5791666666667,5.533333333333333
2022,10,1,1,20841,23735,95174.19,60,342,1069.14,2,14164,4,1586.2365,5.7
2015,5,0,4,7896,8722,87526.75,100,565,669.19,1,12765,2,875.2675,5.65
2024,10,1,4,5697,6406,74881.46,100,564,481.97,2,13090,4,748.8146,5.64
2018,8,3,1,9870,10128,83015.46,100,554,820.2,1,10508,3,830.1546000000001,5.54
2021,5,3,0,2210,2460,68015.58,100,584,193.6,1,3476,2,680.1558,5.84
2021,10,3,0,14193,15440,97193.45,75,442,941.0,0,10909,4,1295.9126666666666,5.8933333333333335
2020,12,3,1,15569,16988,78329.41,100,561,1310.13,0,6085,4,783.2941000000001,5.61
2015,7,0,0,113,118,115067.04,120,709,12.02,1,14580,3,958.8919999999999,5.908333333333333
2018,8,1,1,18499,19682,93079.45,82,454,1259.78,0,4053,3,1135.115243902439,5.536585365853658
2021,1,3,0,6006,6007,58411.15,75,432,389.19,1,11101,1,778.8153333333333,5.76
2019,7,2,4,9124,9987,80109.99,120,686,938.86,1,6724,3,667.58325,5.716666666666667
2022,3,1,4,14670,15394,59676.25,82,467,1027.63,1,14758,1,727.7591463414634,5.695121951219512
2025,8,1,2,1129,1160,108825.31,60,333,56.39,0,5579,3,1813.7551666666666,5.55
2022,8,0,3,11585,12840,63331.99,120,686,1192.1,0,3858,3,527.7665833333333,5.716666666666667
2020,4,2,4,10318,11341,113229.15,82,455,704.2,2,5784,2,1380.8432926829269,5.548780487804878
2025,4,2,4,10058,11457,78513.44,75,449,677.41,0,9950,2,1046.8458666666668,5.986666666666666
2021,4,3,1,16328,17674,112147.23,120,666,1631.17,2,12871,2,934.56025,5.55
2023,3,1,4,11869,12314,79193.41,120,681,1212.42,2,13305,1,659.9450833333334,5.675
2022,2,0,4,13461,14069,90476.09,60,344,694.59,2,9954,1,1507.9348333333332,5.733333333333333
2021,9,2,1,10064,10320,72127.34,75,428,646.11,2,6711,3,961.6978666666666,5.706666666666667
2024,6,3,1,5897,6006,84944.81,100,566,500.66,0,6549,2,849.4481,5.66
2021,11,3,0,6204,6702,81440.37,100,572,532.3,2,4093,4,814.4037,5.72
2015,9,2,4,10783,11226,88792.46,82,477,771.52,0,12956,3,1082.8348780487806,5.817073170731708
2022,7,2,3,8386,8428,91520.92,75,419,527.06,2,7151,3,1220.2789333333333,5.586666666666667
2016,11,2,3,15582,17164,92404.55,120,681,1591.7,0,5614,4,770.0379166666667,5.675
2016,6,0,0,7885,8483,108849.21,82,481,568.9,0,9506,2,1327.4293902439026,5.865853658536586
2017,5,3,0,7766,8156,118496.78,60,355,413.54,0,11414,2,1974.9463333333333,5.916666666666667
2021,8,0,3,9136,9679,102048.1,82,474,649.57,0,7657,3,1244.489024390244,5.780487804878049
2022,12,3,3,10666,11185,70537.28,120,662,1059.13,2,12789,4,587.8106666666666,5.516666666666667
2021,6,3,0,3639,4038,66952.84,75,418,228.17,0,9358,2,892.7045333333333,5.573333333333333
2019,3,3,2,9776,10512,113695.11,82,480,703.87,1,9984,1,1386.5257317073172,5.853658536585366
2022,7,3,4,16921,18220,75209.95,75,429,1088.87,0,11278,3,1002.7993333333333,5.72
2021,7,1,0,5159,5872,118495.42,100,550,425.62,1,10472,3,1184.9542,5.5
2019,6,2,4,14754,16395,97266.16,82,459,1015.81,0,7229,2,1186.1726829268293,5.597560975609756
2016,10,2,1,8763,9817,90043.41,75,431,566.53,0,6521,4,1200.5788,5.746666666666667
2021,7,3,2,5168,5266,54097.56,82,463,358.92,0,4891,3,659.7263414634147,5.646341463414634
2015,11,0,2,15682,17319,60772.71,82,484,1138.51,1,5693,4,741.1306097560976,5.902439024390244
2024,5,3,4,13749,14635,94909.92,100,590,1216.79,2,3067,2,949.0992,5.9
2024,11,0,1,12742,14279,64495.94,120,680,1299.68,0,4610,4,537.4661666666667,5.666666666666667
2022,1,0,2,7476,7781,108224.97,60,359,402.58,0,8926,1,1803.7495000000001,5.983333333333333
2016,3,1,0,9749,10459,67974.36,82,462,675.61,1,6687,1,828.9556097560976,5.634146341463414
2023,11,1,1,10577,12068,88815.88,100,580,920.2,2,14723,4,888.1588,5.8
2018,8,1,0,8415,9592,51409.65,75,418,527.62,2,13634,3,685.462,5.573333333333333
2025,12,3,0,9701,10572,66908.0,82,471,685.38,2,3889,4,815.9512195121952,5.7439024390243905
2017,2,1,1,12488,13372,111610.97,75,420,786.74,2,11133,1,1488.1462666666666,5.6
2022,10,1,0,11173,11362,107979.15,82,461,772.61,0,12327,4,1316.8189024390242,5.621951219512195
2019,12,1,2,5122,5430,74549.69,75,441,338.82,1,12638,4,993.9958666666666,5.88
2022,4,0,2,12876,14702,81005.6,60,347,670.2,2,8716,2,1350.0933333333335,5.783333333333333
2016,3,3,3,6034,6249,76127.63,60,336,304.11,0,3878,1,1268.7938333333334,5.6
2016,1,1,1,10238,11326,110967.84,75,439,674.17,0,12620,1,1479.5711999999999,5.8533333333333335
2023,10,3,4,12266,12573,100235.19,82,481,884.99,2,4067,4,1222.3803658536585,5.865853658536586
2019,6,0,4,8909,9045,113778.44,82,484,646.79,2,12120,2,1387.5419512195122,5.902439024390244
2022,7,3,2,8707,9829,67937.84,82,466,608.62,0,13455,3,828.510243902439,5.682926829268292
2022,10,0,2,10216,11129,82227.03,120,681,1043.56,2,7236,4,685.22525,5.675
2023,12,3,0,12121,13346,64312.67,60,357,649.08,1,6173,4,1071.8778333333332,5.95
2022,4,1,4,14226,15780,50003.7,75,448,955.99,0,12770,2,666.716,5.973333333333334
2022,10,2,4,10455,10975,60845.92,100,592,928.4,0,9259,4,608.4592,5.92
2023,10,0,0,9742,10574,111362.37,75,447,653.2,1,9345,4,1484.8316,5.96
2025,4,1,1,12743,14549,50429.01,82,470,898.38,1,3295,2,614.9879268292683,5.7317073170731705
2017,12,2,0,5773,6233,70156.17,75,430,372.36,1,6599,4,935.4155999999999,5.733333333333333
2024,6,2,0,8995,9523,91249.02,82,462,623.35,0,5102,2,1112.7929268292683,5.634146341463414
2019,7,0,2,12631,13913,71111.08,60,335,634.71,2,6644,3,1185.1846666666668,5.583333333333333
2019,7,0,1,9721,9856,60070.76,82,455,663.46,0,8075,3,732.5702439024391,5.548780487804878
2015,6,3,0,12581,13909,64907.49,100,556,1049.26,0,3174,2,649.0749,5.56
2022,3,2,1,12989,13754,117323.37,75,428,833.89,1,10212,1,1564.3116,5.706666666666667
2019,1,3,0,15450,16585,87005.96,120,680,1575.9,1,9231,1,725.0496666666667,5.666666666666667
2021,7,1,3,6373,7051,97413.93,82,452,432.09,0,7940,3,1187.9747560975609,5.512195121951219
2016,9,1,4,13362,13563,66791.19,75,417,835.79,1,7175,3,890.5492,5.56
2017,6,2,1,9731,10800,92471.22,82,478,697.71,2,3973,2,1127.6978048780488,5.829268292682927
2022,7,2,4,8274,8688,57515.28,60,334,414.53,0,3401,3,958.588,5.566666666666666
2015,12,1,1,10531,11077,93464.09,60,331,522.86,2,13458,4,1557.7348333333332,5.516666666666667
2015,12,0,1,12833,14663,60574.05,82,468,900.88,2,14323,4,738.7079268292683,5.7073170731707314
2021,2,2,3,4938,5121,102386.27,60,337,249.62,0,13580,1,1706.4378333333334,5.616666666666666
2016,12,2,0,1761,1942,100589.49,82,479,126.53,1,4613,4,1226.7010975609758,5.841463414634147
2015,6,0,1,6240,6864,62062.39,120,671,628.06,0,3490,2,517.1865833333334,5.591666666666667
